=== OVERALL METRICS ===
Metric,Value
Dataset Coverage,100.0%
Total Scenarios,69
Successful Runs,69
Top-1 Accuracy,0.0290
Top-K Accuracy,0.0580
Avg Search-Space Reduction,0.8995
Escalation Rate,0.0000
Avg Latency (ms),1.1

=== V2 DIAGNOSTIC METRICS ===
Metric,Value
Constraints Parse Rate,1.0000
Avg Rerank Gain,N/A
Avg Constraints Extraction (ms),0.0
Avg Query Planning (ms),0.1
Avg Retrieval (ms),0.4

=== PER-CASE V2 DETAIL ===
case_id,constraints_parsed,constraints_field_em_f1,rerank_gain
SYNTH_V3_069_DXA_SK_069_augB,True,0.6667,N/A
SYNTH_V3_044_AP_SK_044_augC,True,1.0000,N/A
SYNTH_V3_138_AP_SK_138_augB,True,0.0000,N/A
SYNTH_V3_032_AP_SK_032_augB,True,0.0000,N/A
SYNTH_V3_231_AP_SK_231,True,0.0000,N/A
SYNTH_V3_231_AP_SK_231_augB,True,0.0000,N/A
SYNTH_V3_022_BH_SK_022,True,0.0000,N/A
SYNTH_V3_061_AP_SK_061_augB,True,0.0000,N/A
SYNTH_V3_161_AP_SK_161_augB,True,0.6667,N/A
SYNTH_V3_086_AP_SK_086,True,0.0000,N/A
SYNTH_V3_242_AP_SK_242,True,0.6667,N/A
SYNTH_V3_183_AP_SK_183_augB,True,0.0000,N/A
SYNTH_V3_136_AP_SK_136,True,1.0000,N/A
SYNTH_V3_132_AP_SK_132_augC,True,0.0000,N/A
SYNTH_V3_060_AP_SK_060_augB,True,0.0000,N/A
SYNTH_V3_002_DXA_SK_002_augC,True,0.0000,N/A
SYNTH_V3_172_AP_SK_172_augC,True,0.6667,N/A
SYNTH_V3_041_AP_SK_041_augC,True,0.6667,N/A
SYNTH_V3_022_BH_SK_022_augB,True,0.0000,N/A
SYNTH_V3_073_DXA_SK_073,True,0.0000,N/A
SYNTH_V3_062_AP_SK_062_augC,True,0.6667,N/A
SYNTH_V3_018_AP_SK_018_augB,True,0.0000,N/A
SYNTH_V3_086_AP_SK_086_augC,True,0.0000,N/A
SYNTH_V3_052_DXA_SK_052,True,0.0000,N/A
SYNTH_V3_204_AP_SK_204_augB,True,0.0000,N/A
SYNTH_V3_143_AP_SK_143_augC,True,1.0000,N/A
SYNTH_V3_042_AP_SK_042_augC,True,0.6667,N/A
SYNTH_V3_090_AP_SK_090,True,0.0000,N/A
SYNTH_V3_204_AP_SK_204,True,0.0000,N/A
SYNTH_V3_117_AP_SK_117_augB,True,1.0000,N/A
V05_AP_SK_201_0000,True,1.0000,N/A
V05_DXA_SK_070_0001,True,0.0000,N/A
V05_AP_SK_140_0002,True,1.0000,N/A
V05_BH_SK_007_0003,True,0.0000,N/A
V05_AP_SK_197_0004,True,1.0000,N/A
V05_AP_SK_094_0005,True,1.0000,N/A
V05_DXA_SK_028_0006,True,0.6667,N/A
V05_AP_SK_245_0007,True,1.0000,N/A
V05_AP_SK_106_0008,True,1.0000,N/A
V05_AP_SK_047_0009,True,1.0000,N/A
V05_AP_SK_244_0010,True,1.0000,N/A
V05_DXA_SK_068_0011,True,0.0000,N/A
V05_AP_SK_081_0012,True,1.0000,N/A
V05_BH_SK_039_0013,True,0.0000,N/A
V05_AP_SK_084_0014,True,1.0000,N/A
V05_AP_SK_200_0015,True,1.0000,N/A
V05_BH_SK_010_0016,True,0.0000,N/A
V05_AP_SK_103_0017,True,1.0000,N/A
V05_AP_SK_069_0018,True,1.0000,N/A
V05_AP_SK_052_0019,True,1.0000,N/A
V05_AP_SK_196_0020,True,1.0000,N/A
V05_AP_SK_156_0021,True,1.0000,N/A
V05_DXA_SK_048_0022,True,0.0000,N/A
V05_DXA_SK_040_0023,True,0.0000,N/A
V05_AP_SK_241_0024,True,1.0000,N/A
V05_AP_SK_179_0025,True,1.0000,N/A
V05_DXA_SK_036_0026,True,0.6667,N/A
V05_AP_SK_205_0027,True,1.0000,N/A
V05_AP_SK_206_0028,True,1.0000,N/A
V05_AP_SK_100_0029,True,1.0000,N/A
V05_AP_SK_246_0030,True,1.0000,N/A
V05_BH_SK_016_0031,True,0.0000,N/A
V05_DXA_SK_041_0032,True,0.0000,N/A
V05_DXA_SK_046_0033,True,1.0000,N/A
V05_DXA_SK_058_0034,True,0.0000,N/A
V05_AP_SK_040_0035,True,1.0000,N/A
V05_AP_SK_050_0036,True,1.0000,N/A
V05_AP_SK_104_0037,True,1.0000,N/A
V05_AP_SK_102_0038,True,1.0000,N/A
