=== OVERALL METRICS ===,
Metric,Value
Total Scenarios,6
Successful Runs,6
Top-1 Accuracy,33.33%
Top-3 Accuracy,33.33%
Avg Search-Space Reduction,94.03%
Avg Field Population Rate,26.39%
Escalation Rate,83.33%
Avg Tool Calls per Scenario,1.50
Avg Latency (ms),1367.3

=== BY RESEARCH QUESTION ===,
RQ Category,Total,Top-1 Hits,Top-1 Accuracy,Escalation Rate
RQ1,2,1,50.00%,50.00%
RQ2,2,1,50.00%,100.00%
RQ3,2,0,0.00%,100.00%

=== TOOL USAGE ===,
Tool,Call Count
search_elements_by_type,5
get_element_details,1
generate_3d_view,1
list_available_spaces,1
get_elements_by_storey,1

=== PER-SCENARIO RESULTS ===,
Scenario ID,RQ,GUID Match,Name Match,Storey Match,Tool Calls,Latency (ms),Pool Reduction,Error
GT_001_RQ1_Visual_Mockup,RQ1,Yes,Yes,Yes,3,2269.3,97.50%,
GT_002_RQ1_Window_QA,RQ1,No,No,Yes,3,2519.0,84.67%,
GT_004_RQ2_Entrance_Compliance,RQ2,No,No,Yes,2,1253.1,92.00%,
GT_005_RQ2_Fire_Door_Rating,RQ2,No,No,No,1,1097.7,90.00%,
GT_007_RQ3_HighRise_Abductive,RQ3,No,No,No,0,512.2,,
GT_008_RQ3_Ground_Abductive,RQ3,No,No,Yes,0,552.6,,
