=== OVERALL METRICS ===
Metric,Value
Total Scenarios,2
Successful Runs,2
Top-1 Accuracy,0.0000
Top-K Accuracy,0.0000
Avg Search-Space Reduction,0.8103
Escalation Rate,0.0000
Avg Latency (ms),2694.5

=== V2 DIAGNOSTIC METRICS ===
Metric,Value
Constraints Parse Rate,1.0000
Avg Rerank Gain,N/A
Avg Constraints Extraction (ms),2692.8
Avg Query Planning (ms),0.1
Avg Retrieval (ms),0.7

=== PER-CASE V2 DETAIL ===
case_id,constraints_parsed,constraints_field_em_f1,rerank_gain
SYNTH_026_SK_026_V2,True,0.6667,N/A
SYNTH_041_SK_041_V2,True,0.6667,N/A
