=== OVERALL METRICS ===
Metric,Value
Dataset Coverage,100.0%
Total Scenarios,84
Successful Runs,84
Top-1 Accuracy,0.0000
Top-K Accuracy,0.0000
Avg Search-Space Reduction,0.9265
Escalation Rate,0.0000
Avg Latency (ms),3424.6

=== V2 DIAGNOSTIC METRICS ===
Metric,Value
Constraints Parse Rate,1.0000
Avg Rerank Gain,N/A
Avg Constraints Extraction (ms),3423.5
Avg Query Planning (ms),0.0
Avg Retrieval (ms),0.3

=== PER-CASE V2 DETAIL ===
case_id,constraints_parsed,constraints_field_em_f1,rerank_gain
SYNTH_V3_001_SK_001,True,N/A,N/A
SYNTH_V3_002_SK_002,True,N/A,N/A
SYNTH_V3_006_SK_006,True,N/A,N/A
SYNTH_V3_009_SK_009,True,N/A,N/A
SYNTH_V3_012_SK_012,True,N/A,N/A
SYNTH_V3_013_SK_013,True,N/A,N/A
SYNTH_V3_015_SK_015,True,N/A,N/A
SYNTH_V3_016_SK_016,True,N/A,N/A
SYNTH_V3_019_SK_019,True,N/A,N/A
SYNTH_V3_020_SK_020,True,N/A,N/A
SYNTH_V3_021_SK_021,True,N/A,N/A
SYNTH_V3_022_SK_022,True,N/A,N/A
SYNTH_V3_029_SK_029,True,N/A,N/A
SYNTH_V3_031_SK_031,True,N/A,N/A
SYNTH_V3_032_SK_032,True,N/A,N/A
SYNTH_V3_034_SK_034,True,N/A,N/A
SYNTH_V3_036_SK_036,True,N/A,N/A
SYNTH_V3_038_SK_038,True,N/A,N/A
SYNTH_V3_041_SK_041,True,N/A,N/A
SYNTH_V3_047_SK_047,True,N/A,N/A
SYNTH_V3_048_SK_048,True,N/A,N/A
SYNTH_V3_049_SK_049,True,N/A,N/A
SYNTH_V3_052_SK_052,True,N/A,N/A
SYNTH_V3_053_SK_053,True,N/A,N/A
SYNTH_V3_055_SK_055,True,N/A,N/A
SYNTH_V3_058_SK_058,True,N/A,N/A
SYNTH_V3_060_SK_060,True,N/A,N/A
SYNTH_V3_061_SK_061,True,N/A,N/A
SYNTH_V3_068_SK_068,True,N/A,N/A
SYNTH_V3_069_SK_069,True,N/A,N/A
SYNTH_V3_075_SK_075,True,N/A,N/A
SYNTH_V3_078_SK_078,True,N/A,N/A
SYNTH_V3_082_SK_082,True,N/A,N/A
SYNTH_V3_083_SK_083,True,N/A,N/A
SYNTH_V3_084_SK_084,True,N/A,N/A
SYNTH_V3_085_SK_085,True,N/A,N/A
SYNTH_V3_089_SK_089,True,N/A,N/A
SYNTH_V3_091_SK_091,True,N/A,N/A
SYNTH_V3_092_SK_092,True,N/A,N/A
SYNTH_V3_093_SK_093,True,N/A,N/A
SYNTH_V3_095_SK_095,True,N/A,N/A
SYNTH_V3_096_SK_096,True,N/A,N/A
SYNTH_V3_099_SK_099,True,N/A,N/A
SYNTH_V3_100_SK_100,True,N/A,N/A
SYNTH_V3_103_SK_103,True,N/A,N/A
SYNTH_V3_105_SK_105,True,N/A,N/A
SYNTH_V3_114_SK_114,True,N/A,N/A
SYNTH_V3_120_SK_120,True,N/A,N/A
SYNTH_V3_126_SK_126,True,N/A,N/A
SYNTH_V3_134_SK_134,True,N/A,N/A
SYNTH_V3_140_SK_140,True,N/A,N/A
SYNTH_V3_144_SK_144,True,N/A,N/A
SYNTH_V3_145_SK_145,True,N/A,N/A
SYNTH_V3_150_SK_150,True,N/A,N/A
SYNTH_V3_157_SK_157,True,N/A,N/A
SYNTH_V3_160_SK_160,True,N/A,N/A
SYNTH_V3_163_SK_163,True,N/A,N/A
SYNTH_V3_165_SK_165,True,N/A,N/A
SYNTH_V3_166_SK_166,True,N/A,N/A
SYNTH_V3_168_SK_168,True,N/A,N/A
SYNTH_V3_175_SK_175,True,N/A,N/A
SYNTH_V3_180_SK_180,True,N/A,N/A
SYNTH_V3_183_SK_183,True,N/A,N/A
SYNTH_V3_188_SK_188,True,N/A,N/A
SYNTH_V3_189_SK_189,True,N/A,N/A
SYNTH_V3_191_SK_191,True,N/A,N/A
SYNTH_V3_192_SK_192,True,N/A,N/A
SYNTH_V3_194_SK_194,True,N/A,N/A
SYNTH_V3_198_SK_198,True,N/A,N/A
SYNTH_V3_200_SK_200,True,N/A,N/A
SYNTH_V3_202_SK_202,True,N/A,N/A
SYNTH_V3_208_SK_208,True,N/A,N/A
SYNTH_V3_209_SK_209,True,N/A,N/A
SYNTH_V3_213_SK_213,True,N/A,N/A
SYNTH_V3_221_SK_221,True,N/A,N/A
SYNTH_V3_225_SK_225,True,N/A,N/A
SYNTH_V3_232_SK_232,True,N/A,N/A
SYNTH_V3_233_SK_233,True,N/A,N/A
SYNTH_V3_236_SK_236,True,N/A,N/A
SYNTH_V3_244_SK_244,True,N/A,N/A
SYNTH_V3_245_SK_245,True,N/A,N/A
SYNTH_V3_246_SK_246,True,N/A,N/A
SYNTH_V3_247_SK_247,True,N/A,N/A
SYNTH_V3_248_SK_248,True,N/A,N/A
